month,month_name,wet_vs_dry_accidents_pct,wet_vs_dry_fatal_pct,wet_vs_dry_serious_or_fatal_pct
1,Jan,2.3233778047301312,-14.579133237228614,-6.826797839254517
2,Feb,2.9366498897716475,-21.736693910488935,-12.622973118708758
3,Mar,-8.470212448151848,-2.7565336295492404,-4.505836704199362
4,Apr,-1.3564643374657792,-21.33427065138328,-16.73780276484691
5,May,-1.7196843706875242,-23.275556441611812,-21.447502130485198
6,Jun,-10.348012535048657,-4.44592600846847,-10.920544194894887
7,Jul,1.6603543892871553,-15.734594515309375,-16.12065527215133
8,Aug,5.476918431283728,-20.21100489250418,-19.181498976512056
9,Sep,-4.048529167359149,-13.064782110574292,-7.050509205389066
10,Oct,6.073625958134254,-9.746456392402546,-7.141147207158893
11,Nov,7.631897595571702,-11.067553934587416,-10.639211145997884
12,Dec,-1.283673165649657,6.9754643343044265,6.340580618526426
0,All,-0.09364599629866621,-12.581420115816977,-10.571158161756035
